Base_Item_Number;Order_Minimum;Order_Unit_Of_Measure;Unit_Increments;SKU;UPC;Category;Image_URL;Finish;Glass;Fixture_Socket_Size;Fixture_Socket_Size_2;Integrated_LED;Integrated_LED_Wattage;Inventory_Qty;Weight;Weight_Unit;Short_Description;IMAP_Price;Wholesale_Price;Height;Length;Extends;HCWO;Prop_65;Image_Name;Wet_Rated;Theme;Url
1824-03;1;EA;1;1824-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-03_effbd6ce-da85-4f6a-b88a-c954397701f1.png?v=1641409710;Blanc;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-03.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=40734173855906&om=9160
1824-09;1;EA;1;1824-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-09_a1301fd3-534a-41c9-95eb-408c300dcdc5.png?v=1641409695;Brun;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-09.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=40734173888674&om=9160
1824-06;1;EA;1;1824-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-09_a1301fd3-534a-41c9-95eb-408c300dcdc5.png?v=1641409695;;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-06.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=42099679297698&om=9160
1824-10;1;EA;1;1824-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-09_a1301fd3-534a-41c9-95eb-408c300dcdc5.png?v=1641409695;Anthracite;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-10.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=42099680313506&om=9160
1824-21;1;EA;1;1824-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824-09_a1301fd3-534a-41c9-95eb-408c300dcdc5.png?v=1641409695;;;;;N;;0;0;lbs;Evolution - Oval tube PAR-30 / A-19 -1824;147.6;73.8;;;;;N;1824-21.png;Y;Evolution ;https://snoc.com/products/1824-tube-oval-par-30-a-19?variant=42099681427618&om=9160
1827D-01;1;EA;1;1827D-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D-01_401e8af1-d58d-4713-afd9-551a5a00b2e9.png?v=1641413177;Noir;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-01.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=40734198431906&om=9160
1827D-03;1;EA;1;1827D-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D-03.png?v=1641413177;Blanc;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-03.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=40734198464674&om=9160
1827D-09;1;EA;1;1827D-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D-09vuecote.png?v=1647540770;Brun;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-09.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=40734198497442&om=9160
1827D-10;1;EA;1;1827D-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D10.jpg?v=1641413177;Anthracite;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-10.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=40759155720354&om=9160
1827D-06;1;EA;1;1827D-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D10.jpg?v=1641413177;;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-06.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=42099679330466&om=9160
1827D-21;1;EA;1;1827D-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827D10.jpg?v=1641413177;;;;;N;;0;0;lbs;Evolution - Cylinder PAR 38 Down - 1827D;198;99;;;;;N;1827D-21.png;Y;Evolution ;https://snoc.com/products/1827d-cylindre-par-38-down?variant=42099681460386&om=9160
1827F-01;1;EA;1;1827F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827F-01.png?v=1641413057;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1827;43.2;21.6;;;;;N;1827F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1827?variant=40734202953890&om=9160
1827F-03;1;EA;1;1827F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827F-03.png?v=1641413062;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1827;43.2;21.6;;;;;N;1827F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1827?variant=40734202986658&om=9160
1827F-09;1;EA;1;1827F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827F-09.png?v=1641413066;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1827;43.2;21.6;;;;;N;1827F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1827?variant=40734203019426&om=9160
1824F-01;1;EA;1;1824F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824F-01_24271db9-6e7c-410b-b2ad-f8dcc8c95e11.png?v=1641409598;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1824 and 1826;37.800000000000004;18.900000000000002;;;;;N;1824F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1824-et-1826?variant=40734206623906&om=9160
1824F-03;1;EA;1;1824F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824F-03_a4251e3a-db3d-47b4-804f-1b0e6ee0b3b9.png?v=1641409601;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1824 and 1826;37.800000000000004;18.900000000000002;;;;;N;1824F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1824-et-1826?variant=40734206656674&om=9160
1824F-09;1;EA;1;1824F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1824F-09_83d5ad97-610e-4b06-a0e4-fc74480f9e87.png?v=1641409605;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1824 and 1826;37.800000000000004;18.900000000000002;;;;;N;1824F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1824-et-1826?variant=40734206689442&om=9160
1827-01;1;EA;1;1827-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827-01.png?v=1641413203;Noir;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-01.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=40734216061090&om=9160
1827-03;1;EA;1;1827-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827-03.png?v=1641413209;Blanc;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-03.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=40734216126626&om=9160
1827-09;1;EA;1;1827-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1827-09.png?v=1641413216;Brun;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-09.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=40734216192162&om=9160
1827-21;1;EA;1;1827-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/182721.jpg?v=1641413203;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-21.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=40759145955490&om=9160
1827-06;1;EA;1;1827-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/182721.jpg?v=1641413203;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-06.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=42099679363234&om=9160
1827-10;1;EA;1;1827-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/182721.jpg?v=1641413203;Anthracite;;;;N;;0;0;lbs;Evolution - Cylinder PAR-38 - 1827;163.8;81.9;;;;;N;1827-10.png;Y;Evolution ;https://snoc.com/products/1827-cylindre-par-38?variant=42099680346274&om=9160
1836-01;1;EA;1;1836-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-01.png?v=1641495434;Noir;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-01.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=40734229463202&om=9160
1836-03;1;EA;1;1836-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-03.png?v=1641495439;Blanc;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-03.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=40734229495970&om=9160
1836-09;1;EA;1;1836-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-09.png?v=1641495444;Brun;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-09.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=40734229528738&om=9160
1836-06;1;EA;1;1836-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-01.png?v=1641495434;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-06.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=42099679396002&om=9160
1836-10;1;EA;1;1836-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-01.png?v=1641495434;Anthracite;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-10.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=42099680379042&om=9160
1836-21;1;EA;1;1836-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836-01.png?v=1641495434;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-20 / A-19 - 1836;129.6;64.8;;;;;N;1836-21.png;Y;Evolution ;https://snoc.com/products/1836-tube-rond-par-20-a-19?variant=42099681493154&om=9160
1830F-01;1;EA;1;1830F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830F-01.png?v=1641494886;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1830 and 1832;37.800000000000004;18.900000000000002;;;;;N;1830F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1830-et-1832?variant=40734252826786&om=9160
1830F-03;1;EA;1;1830F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830F-03.png?v=1641494889;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1830 and 1832;37.800000000000004;18.900000000000002;;;;;N;1830F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1830-et-1832?variant=40734252859554&om=9160
1830F-09;1;EA;1;1830F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830F-09.png?v=1641494893;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1830 and 1832;37.800000000000004;18.900000000000002;;;;;N;1830F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1830-et-1832?variant=40734252892322&om=9160
1830-01;1;EA;1;1830-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-01.png?v=1641494911;Noir;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-01.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=40734258266274&om=9160
1830-03;1;EA;1;1830-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-03.png?v=1641494915;Blanc;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-03.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=40734258299042&om=9160
1830-09;1;EA;1;1830-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-09.png?v=1641494920;Brun;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-09.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=40734258331810&om=9160
1830-06;1;EA;1;1830-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-01.png?v=1641494911;;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-06.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=42099679428770&om=9160
1830-10;1;EA;1;1830-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-01.png?v=1641494911;Anthracite;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-10.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=42099680411810&om=9160
1830-21;1;EA;1;1830-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1830-01.png?v=1641494911;;;;;N;;0;0;lbs;Evolution - Square tube PAR-20/30 / A-19 - 1830;232.20000000000002;116.10000000000001;;;;;N;1830-21.png;Y;Evolution ;https://snoc.com/products/1830-tube-carre-par-20-30-a-19?variant=42099681525922&om=9160
1836F-01;1;EA;1;1836F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836F-01.png?v=1641495388;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1836;30.6;15.3;;;;;N;1836F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1836?variant=40734265933986&om=9160
1836F-03;1;EA;1;1836F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836F-03.png?v=1641495392;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1836;30.6;15.3;;;;;N;1836F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1836?variant=40734265966754&om=9160
1836F-09;1;EA;1;1836F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1836F-09.png?v=1641495396;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1836;30.6;15.3;;;;;N;1836F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1836?variant=40734265999522&om=9160
1829-01;1;EA;1;1829-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-01.png?v=1643646169;Noir;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-01.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=40734277730466&om=9160
1829-03;1;EA;1;1829-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-03.png?v=1643646169;Blanc;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-03.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=40734277763234&om=9160
1829-09;1;EA;1;1829-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-09.png?v=1643646169;Brun;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-09.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=40734277796002&om=9160
1829-06;1;EA;1;1829-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-01.png?v=1643646169;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-06.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=42099679461538&om=9160
1829-10;1;EA;1;1829-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-01.png?v=1643646169;Anthracite;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-10.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=42099680444578&om=9160
1829-21;1;EA;1;1829-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1829-01.png?v=1643646169;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 downlight only - 1829;88.2;44.1;;;;;N;1829-21.png;Y;Evolution ;https://snoc.com/products/1829-cylindre-par-30-bas-seulement?variant=42099681558690&om=9160
1837-01;1;EA;1;1837-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-01.png?v=1641495527;Noir;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-01.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=40734289199266&om=9160
1837-03;1;EA;1;1837-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-03.png?v=1641495532;Blanc;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-03.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=40734289232034&om=9160
1837-09;1;EA;1;1837-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-09.png?v=1641495535;Brun;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-09.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=40734289264802&om=9160
1837-06;1;EA;1;1837-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-01.png?v=1641495527;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-06.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=42099679494306&om=9160
1837-10;1;EA;1;1837-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-01.png?v=1641495527;Anthracite;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-10.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=42099680739490&om=9160
1837-21;1;EA;1;1837-21;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837-01.png?v=1641495527;;;;;N;;0;0;lbs;Evolution - Cylinder PAR-30 / A-19 - 1837;145.8;72.9;;;;;N;1837-21.png;Y;Evolution ;https://snoc.com/products/1837-tube-rond-par-30-a-19?variant=42099681624226&om=9160
1837F-01;1;EA;1;1837F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837F-01.png?v=1641495477;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1837;34.2;17.1;;;;;N;1837F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1837?variant=40734316626082&om=9160
1837F-03;1;EA;1;1837F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837F-03.png?v=1641495484;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1837;34.2;17.1;;;;;N;1837F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1837?variant=40734316658850&om=9160
1837F-09;1;EA;1;1837F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1837F-09.png?v=1641495489;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1837;34.2;17.1;;;;;N;1837F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1837?variant=40734316691618&om=9160
1831F-01;1;EA;1;1831F-01;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831F-01.png?v=1641495025;Noir;;;;N;;0;0;lbs;Evolution - Lid for 1831 and 1833;37.800000000000004;18.900000000000002;;;;;N;1831F-01.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1831-et-1833?variant=40734323179682&om=9160
1831F-03;1;EA;1;1831F-03;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831F-03.png?v=1641495030;Blanc;;;;N;;0;0;lbs;Evolution - Lid for 1831 and 1833;37.800000000000004;18.900000000000002;;;;;N;1831F-03.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1831-et-1833?variant=40734323212450&om=9160
1831F-09;1;EA;1;1831F-09;;Couvercle;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831F-09.png?v=1641495036;Brun;;;;N;;0;0;lbs;Evolution - Lid for 1831 and 1833;37.800000000000004;18.900000000000002;;;;;N;1831F-09.png;Y;Evolution ;https://snoc.com/products/couvercle-pour-1831-et-1833?variant=40734323245218&om=9160
1831-01;1;EA;1;1831-01;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831-01.png?v=1641495065;Noir;;;;N;;0;0;lbs;Evolution - Square tube PAR-38 - 1831;262.8;131.4;;;;;N;1831-01.png;Y;Evolution ;https://snoc.com/products/1831-tube-carre-par-38?variant=40734328455330&om=9160
1831-03;1;EA;1;1831-03;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831-03.png?v=1641495069;Blanc;;;;N;;0;0;lbs;Evolution - Square tube PAR-38 - 1831;262.8;131.4;;;;;N;1831-03.png;Y;Evolution ;https://snoc.com/products/1831-tube-carre-par-38?variant=40734328488098&om=9160
1831-09;1;EA;1;1831-09;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/1831-09.png?v=1641495077;Brun;;;;N;;0;0;lbs;Evolution - Square tube PAR-38 - 1831;262.8;131.4;;;;;N;1831-09.png;Y;Evolution ;https://snoc.com/products/1831-tube-carre-par-38?variant=40734328520866&om=9160
1831-10;1;EA;1;1831-10;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/183110.jpg?v=1641495065;Anthracite;;;;N;;0;0;lbs;Evolution - Square tube PAR-38 - 1831;262.8;131.4;;;;;N;1831-10.png;Y;Evolution ;https://snoc.com/products/1831-tube-carre-par-38?variant=40759180034210&om=9160
1831-06;1;EA;1;1831-06;;Lampe;https://cdn.shopify.com/s/files/1/0586/5016/5410/products/183110.jpg?v=1641495065;;;;;N;;0;0;lbs;Evolution - Square tube PAR-38 - 1831;262.8;131.4;;;;;N;1831-06.png;Y;Evolution ;https://snoc.com/products/1831-tube-carre-par-38?variant=42099679527074&om=9160
